These,are,the,entries
with,flavors,that,were,deleted
=====,=====,=====,=====,=====,=====,=====
EntryID,Type,Name,FlavorAssetIDs,FlavorsSize,LastPlayedAt,CreatedAt
1_ww78wcde,1,"FA SUPERTUTORIAL FROM LECTURE 17","1_gplgehsq 1_6wlcn46v",98303,,1360056730
1_xscc7bcg,1,"FA LECTURE 17 OVERVIEW-STATEMENTS OF CASHFLOW","1_tal59hj6 1_mvhef7bv",186060,,1360056731
1_8h21dgzu,1,"FA SUPERTUTORIAL FROM LECTURE 14","1_iuegaq31 1_spl7bk5l",107212,,1360056732
1_in6df5dp,1,"LPC Civil Litigation:  Application to set aside default judgment","1_3aup2eak 1_dpyniufc",115301,,1360058673
1_efeekwrz,1,"LLB EU Law:  Consolidation podcast 1 - Direct effect, Indirect Effect and State Liability","1_akuyq0tv 1_zrwpd3lm",103833,1439197200,1360058675
1_naqw2mwo,1,"LLB EU Law:  Consolidation podcast 2 - Actions against EU institutions","1_pni44nns 1_w239etew",120831,1455519600,1360058676
1_zzdwnrx4,1,"LLB EU Law:  Consolidation podcast 2","1_z5geoxsk 1_z75ofguk",120831,1382443200,1360058677
1_cjpp5xwh,1,"LLB Family Law: Civil Partnership Podcast 4","1_c6ykzhje 1_waiqff4x",80588,,1360058678
1_f6m0vm12,1,"Tackling a problem question on divorce","1_zthz4hq7 1_iorr6jcf",93286,,1360058679
1_sdam5c6t,1,"Tackling legal problems: introduction to the IRAC approach","1_gcstfv37 1_c5fp19ec",132607,1458309600,1360058680
1_0yyvpthm,1,"Using Westlaw to research cases","1_oxlp5nrt 1_8fq1le0n",58367,,1360058681
1_rgjhscf0,1,"LLB Family Law:  Civil Partnership Podcast 3","1_qrtef946 1_oh0fak1a",113561,,1360058682
1_3z51of1r,1,"LLB Family Law:  Civil Partnership Podcast 1","1_5avu3gpo 1_xhp8p02c",116838,,1360058683
1_2tgpmzmy,1,"LLB Family Law: Civil Partnership Podcast 2","1_2l2luc8k 1_a524fb6s",84377,,1360058683
1_2s4xbgx4,1,"Corporate Liquidation - Podcast 2","1_mhiwfnbt 1_b4r9o023",132607,,1360058684
1_z7q62rop,1,"Corporate Liquidation - Podcast 1","1_08un4sbj 1_gc0p3les",56729,,1360058685
1_05u706p7,1,"Shareholders 2 - Podcast 2","1_1cu7unvl 1_v8k2gwn5",154111,,1360058686
1_3omvfkz4,1,"Shareholders 1 Podcast","1_ag3q12iy 1_amiun4wz",122367,,1360058687
1_kt42sky3,1,"Shareholders 2 - Podcast 1","1_i1yv42xy 1_utww8667",49459,,1360058690
1_0d7r4se3,1,"Directors' Duties 2 - Podcast 2 of 2","1_qrnz75oo 1_39odoo4m",146840,,1360058691
1_pdgj3fwb,1,"Directors' Duties 2 - Podcast 1 of 2","1_492gesuj 1_i6shnn5i",103219,,1360058692
1_95unds1t,1,"LPC Civil Litigation:  Application for summary judgment","1_hps3i5h8 1_leulplqb",157286,,1360058965
1_64jvxfdr,1,"Podcast 1 on consent","1_tfvluwsj 1_v7cpaw5s",83967,1583308800,1360059264
1_fbwjyxrt,1,"Podcast on S.20 and S.47 OAPA ","1_d87l3tcy 1_ijbtzgzb",87347,1578690000,1360059265
1_edcihheo,1,"Podcast 2 on criminal damage (and recklessness)","1_4xtd2m8b 1_am3798by",129433,1583326800,1360059266
1_x115v4ns,1,"Podcast 1 on criminal damage","1_b43nfdyb 1_si6dknun",65125,1583323200,1360059267
1_0sca6n8g,1,"Podcast lecture 2 on breach of duty (tort)","1_bntzp1cn 1_zb0t8a8b",86322,1437922800,1360059268
1_j587t5ab,1,"Podcast 1 on breach of duty (Tort)","1_57n4gbqr 1_k80n6doh",67788,1461614400,1360059269
1_7gwja9t3,1,"Involuntary manslaughter 2","1_pkwfquxu 1_f3510v00",92978,1583319600,1360059270
1_s6hvhol1,1,"Podcast  1 on involuntary manslaughter","1_1cvt1ta9 1_ueegimz9",90725,1583377200,1360059270
1_adfxlina,1,"Podcast 2 on causation Criminal law","1_6vg14c3x 1_4i98mh0h",151961,1581530400,1360059271
1_oy6nge6b,1,"Criminal law Causation 2","1_jdblyool 1_qy5gq0jo",147148,1568653200,1360059272
1_jks4ibm6,1,"Criminal law causation podcast 1","1_jdg4ixwq 1_e1rb40y5",81919,1581264000,1360059273
1_nan6fhj7,1,"Podcast lecture 1 on defences to negligence","1_upar7hgv 1_bzbw05ot",225587,1438527600,1360059274
1_2pw9juqv,1,"Podcast lecture 2 on defences to negligence (rescuers)","1_8wzaeebo 1_81un48y1",113459,1438542000,1360059275
1_b54hl3j8,1,"Podcast lecture 3 on causation","1_4mwxr0ky 1_ba6zd1u5",168243,1459436400,1360059276
1_riea92c2,1,"Tort podcast lecture 2 causation and remoteness","1_mmrdgo8y 1_vgm1fv6j",128408,1460293200,1360059277
1_cf00oxg2,1,"MMU INTO Regional Office Staff Webinar 2 18 Oct 2012 mov","1_cq6s3ug4 1_jt4wvaw1",464896,,1360059576
1_3rzplw5v,1,"MMU INTO Regional Office Staff Webinar 1 18 Oct 2012 (.mp4)","1_iacifqdc 1_tyo9nvfi",417792,,1360059577
1_mx9usncr,1,"MMUI webinar test 2 18 Oct 2012","1_xd0zh70y 1_54qj7cyj",960,,1360059580
1_dqvvo7ce,1,"Budgeting for university","1_0x7btocm 1_um3ixii6",2641,,1360059581
1_poxji5ca,1,"Moving to Manchester","1_fkhww4li 1_4262jihw",3644,,1360059581
1_2k9zn6uu,1,"Getting help from FY staff","1_14yimoec 1_ckgbdf1q",3470,,1360059582
1_98ktaojz,1,"Exceptional Factors","1_fbbtr03u 1_wgp2yzmw",2402,,1360059583
1_nn736n5w,1,"Advice on preparing for exams","1_aqik436b 1_mvx0sgu4",3552,,1360059585
1_0x5t5i12,1,"Handing in coursework","1_qoxhjkum 1_hsyste8b",3992,,1360059586
